25, 22, 18, 22, 17, 22,  9, 25,  9, 22, 191
31, 27, 19, 27, 19, 27, 16, 31, 16, 28, 241
22, 14, 13, 13, 12, 13,  8, 22,  8, 16, 141
26, 18, 13, 18, 13, 18,  8, 26,  8, 25, 173
20, 13,  5, 13,  5, 13,  3, 20,  3, 17, 112
25, 19, 10, 19, 10, 19,  6, 25,  5, 19, 157
29, 24, 17, 24, 17, 24, 12, 29, 12, 27, 215
22, 14,  9, 14,  9, 14,  9, 22,  9, 18, 140
21, 19, 10, 19, 10, 19,  5, 21,  5, 21, 150
25, 19, 13, 19, 13, 19,  8, 25,  8, 21, 170
24, 17,  7, 17,  7, 17,  3, 24,  3, 23, 142
16, 12, 11, 12, 11, 12,  7, 16,  7, 14, 118
21, 13, 10, 13, 10, 13,  7, 21,  7, 17, 132
20, 12, 10, 11, 10, 12,  6, 20,  7, 17, 125
26, 19, 12, 19, 11, 19, 10, 26,  9, 20, 171
30, 29, 19, 29, 18, 29, 18, 30, 17, 29, 248
